u	v	w
6989	1030	20	
8066	1031	12	
5827	1032	6	
7246	1033	16	
2230	1034	12	
9888	1035	3	
9996	1036	17	
5583	1037	13	
1647	1038	7	
4090	1039	18	
791	1040	17	
4180	1041	16	
6317	1042	16	
463	1043	5	
9036	1044	4	
78	1045	19	
735	1046	9	
8735	1047	14	
7197	1048	16	
2444	1049	9	
8316	1050	11	
7323	1051	10	
8600	1052	5	
8251	1053	9	
872	1054	10	
2610	1055	14	
8842	1056	20	
349	1057	4	
3133	1058	17	
5147	1059	9	
5872	1060	10	
2132	1061	2	
5309	1062	20	
2323	1063	10	
398	1064	15	
4496	1065	21	
67	1066	8	
1230	1067	4	
4417	1068	3	
3215	1069	4	
6699	1070	13	
5054	1071	28	
5576	1072	6	
5217	1073	6	
2490	1074	35	
8261	1075	11	
6717	1076	25	
5690	1077	8	
3439	1078	24	
5205	1079	14	
2984	1080	27	
3775	1081	13	
2265	1082	18	
9274	1083	9	
8399	1084	11	
8756	1085	13	
810	1086	2	
9566	1087	11	
978	1088	9	
4632	1089	5	
9898	1090	25	
9618	1091	4	
4732	1092	17	
1667	1093	1	
187	1094	28	
2955	1095	7	
2572	1096	29	
7976	1097	2	
2955	1098	9	
3310	1099	30	
8379	1100	11	
3012	1101	10	
6610	1102	5	
1798	1103	23	
5583	1104	10	
2204	1105	3	
4458	1106	21	
6589	1107	9	
5059	1108	7	
5049	1109	8	
2872	1110	9	
4274	1111	12	
5440	1112	16	
8677	1113	22	
8910	1114	10	
5249	1115	9	
2100	1116	8	
1794	1117	2	
9281	1118	12	
6040	1119	14	
8576	1120	4	
9326	1121	4	
4703	1122	17	
824	1123	6	
6070	1124	2	
2481	1125	9	
7188	1126	19	
6092	1127	1	
4752	1128	7	
4016	1129	2	
3757	1130	2	
5069	1131	15	
2181	1132	1	
6134	1133	3	
9740	1134	31	
9411	1135	3	
241	1136	2	
7046	1137	15	
3470	1138	15	
8763	1139	1	
6809	1140	5	
7382	1141	26	
2915	1142	7	
